"","StatID","Label","Regex"
"130","JAM","Jamaica","jama.?ca"
"131","JMK","Jimma-Kakka","jimma-kakka"
"132","JOD","Jodhpur","jodhpur"
"133","JOH","Johore","johor"
"134","JOR","Jordan","jordan"
"135","JPN","Japan","japan|nippon"
"136","JPR","Jaipur","jaipur"
"137","KAF","Kaffa","kaffa"
"138","KAS","Kasanje","kasanje"
"139","KAT","Kathiri Sultanate","kathiri sultanate"
"140","KAZ","Kazakhstan","kazak"
"141","KED","Kedah","kedah"
"142","KEL","Kelantan","kelantan"
"143","KEN","Kenya","kenya|british.?east.?africa|east.?africa.?prot"
"144","KGZ","Kyrgyzstan","kyrgyz|kirghiz"
"145","KHI","Khairpur","khairpur|khayrpur"
"146","KHM","Cambodia","cambodia|kampuchea|khmer"
"147","KHV","Khiva","khiva"
"148","KIR","Kiribati","kiribati"
"149","KLT","Kalat","kalat"
"150","KNA","St. Kitts and Nevis","kitts|\bnevis"
"151","KNB","Kanem-Bornu","kanem-bornu"
"152","KOK","Kokand","kokand"
"153","KON","Kongo Kingdom","kongo kingdom"
"154","KOR","Republic of Korea","(?!.*d.*p.*r)(?!.*democrat)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)"
"155","KOS","Kosovo","kosovo"
"156","KOT","Kotah","kotah"
"157","KPT","Kapurthala","kapurthala"
"158","KRG","Karangasem (Bali and Lombok)","karangasem (bali and lombok)"
"159","KTA","Kaarta","kaarta"
"160","KUB","Kuba","kuba"
"161","KWT","Kuwait","kuwait"
"162","KZB","Kazembe","kazembe"
"163","LAO","Lao People's Democratic Republic","\blaos?\b"
"164","LBN","Lebanon","lebanon"
"165","LBR","Liberia","liberia"
"166","LBY","Tripolitania","libya"
"167","LCA","St. Lucia","\blucia"
"168","LIE","Liechtenstein","liechtenstein"
"169","LIM","Enarya (Limmu)","enarya (limmu)"
"170","LIP","Lippe","lippe"
"171","LKA","Sri Lanka","sri.?lanka|ceylon"
"172","LSO","Basutoland (Lesotho)","lesotho|basuto"
"173","LTU","Lithuania","lithuania"
"174","LUB","Luba","luba"
"175","LUN","Lunda Empire","lunda empire|kingdom of lunda"
"176","LUX","Luxembourg","(?!.*belg).*luxem"
"177","LVA","Latvia","latvia"
"178","MAR","Morocco","morocco|\bmaroc"
"179","MAS","Massina","massina|maasina|macina"
"180","MCO","Monaco","monaco"
