COWNum,COWID,StateName,OtherName,ISD_Category,Region,Start,Start_Am,EStart,EStart_Am,Declare,DecDate,Population,PopDate,PopAm,PopulationHigh,PopulationLow,StartType,StartType_Am,StartSettle,End,End_Am,EndType,EndType_Am,EndSettle,Sovereignty_Am,EuroDip,Borders,Borders_Am,Latitude,Longitude,Capital,VioStart,VioStart_Am,VioEnd,VioEnd_Am,DestinationA,DestinationB,DestinationC,DestinationD,DestinationE,DestinationF,DestinationG,DestinationH,DestinationI,DestinationJ,DestinationK,DestinationL,DestinationM,DestinationN,DestinationO,DestinationP,DestinationQ,DestinationR,DestinationS,DestinationT,DestinationU
4797,ARO,Aro Confederacy,Arochukwu,3,1,1816-01-01,0,1690,1,0,-9,-9,-9,1,-9,-9,1,0,0,1902-01-31,0,1,0,0,0,1,0,1,5 23 0 N,7 55 0 E,Arochukwu,1,0,1,0,475,,,,,,,,,,,,,,,,,,,,
8562,AHN,Asahan,Assahan As<c3><a4>an,3,3,1816-01-01,0,1763,1,-9,-9,70000,1826,0,-9,-9,2,1,-9,1865-01-01,0,1,0,1,1,1,0,1,2 58 12 N,99 48 0 E,Tanjungbalai,1,1,1,0,850,,,,,,,,,,,,,,,,,,,,
4521,AST,Ashanti,Asante Empire,1,1,1816-01-01,0,1690,1,0,-9,500000,1800,0,3000000,349000,1,1,0,1896-01-17,0,1,0,0,0,1,1,1,6 41 45.1 N,1 36 51.8 W,Kumasi,1,1,1,0,452,,,,,,,,,,,,,,,,,,,,
672,ASI,Asir,"Idrisid Emirate of Asir, Aseeri, Asaryah, Idrissi, Himyari ",1,6,1917-08-03,0,-9,-9,1,3-8-1917,100000,1915,1,-9,-9,2,0,1,1926-10-21,0,2,0,1,1,1,1,0,18 15 14.4 N,42 30 40.8 E,Abha,1,0,1,0,670,,,,,,,,,,,,,,,,,,,,
672,ASI,Asir,-9,1,6,1818-01-01,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1872-04-30,0,-9,-9,-9,0,-9,-9,-9,18 15 14.4 N,42 30 40.8 E,Abha,-9,-9,-9,-9,670,,,,,,,,,,,,,,,,,,,,
7572,ASA,Assam,"Kamarupa, Pragjyotisha, Ahome",2,2,1816-01-01,0,1682,1,-9,-9,799519,1835,0,-9,-9,2,1,0,1821-04-19,0,2,0,0,1,1,0,1,26 55 59 N,94 44 53 E,,1,1,1,0,750,,,,,,,,,,,,,,,,,,,,
900,AUL,Australia,-9,1,3,1920-01-10,0,-9,-9,0,-9,5'358'000,1920,0,-9,-9,5,0,1,2016-12-31,0,-9,-9,-9,0,1,1,0,35 17 35 S,149 7 37 E,Canberra,0,0,-9,-9,900,,,,,,,,,,,,,,,,,,,,
305,AUS,Austria,-9,1,5,1918-11-11,0,-9,-9,1,30-10-1918,6'455'000,1920,0,-9,-9,3,0,1,1938-03-12,0,2,0,0,0,1,1,0,48 12 0 N,16 22 0 E,Vienna,1,0,0,0,305,,,,,,,,,,,,,,,,,,,,
305,AUS,Austria,-9,1,5,1955-07-27,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
300,AUH,Austria-Hungary,Hapsburg empire,1,5,1816-01-01,0,1556,-9,0,-9,35762000,1869,0,-9,-9,4,0,1,1918-11-11,0,4,0,1,0,1,1,0,48 12 0 N,16 22 0 E,Vienna,0,0,1,0,305,310,316,317,349,344,346,290,369,360,345,341,325,,,,,,,,
