State,Name,COWsys,GWsys,Indep,Viol,Type,From,IndepTC,ViolTC,TypeTC,FromTC,IndepP2,ViolP2,TypeP2,Notes
273,Hesse Electoral,18160101,18160101,180608,1,4,-9,181601,-9,0,-9,-9,-9,-9,Formed by Napoleonic partition of Holy Roman Empire
275,Hesse Grand Ducal,18160101,18160101,180608,1,4,-9,181601,-9,0,-9,-9,-9,-9,Formed by Napoleonic partition of Holy Roman Empire
280,Mecklenburg Schwerin,18430101,18160101,162100,0,1,-9,184301,-9,0,-9,-9,-9,-9,
290,Poland,19181103,19181111,191811,1,3,365,191811,1,3,365,1918,1,1,COW system interrupted 1939-45 (Ger/Rus occup)
300,Austria-Hungary,18160101,18160101,128212,1,1,-9,181601,-9,0,-9,1800,-9,0,Polity2 coding is for #305 (Austria) but begins in 1800 (so refers to Austria-Hungary at first)
305,Austria (post-Habsburg),19190910,19181114,191811,1,4,300,-9,-9,-9,-9,-9,-9,-9,Independence I - ends with 1938 Anschluss (Terr chg & Polity2 treat as continuation of Austria-Hungary)
305,Austria (post-Nazi),19550727,-9,194504,1,3,255,195507,0,-9,1,-9,-9,-9,Independence II - seceded from Germany (followed by Allied occup)
310,Hungary,19181116,19181103,191811,1,4,300,191909,1,5,305,1867,0,3,Terr chg codes as seceding from #305 Austria (not #300 Austria-Hungary)
315,Czechoslovakia,19181028,19190101,191810,1,4,300,191810,1,5,305,1918,1,4,COW system interrupted 1939-45 (Ger occup); terr chg also codes 1945 return
316,Czech Republic,19930101,19930101,199301,0,4,315,199301,0,3,315,-9,-9,-9,
317,Slovakia,19930101,19930101,199301,0,4,315,199301,0,3,315,-9,-9,-9,Terr chg includes 1939 secession from Czechoslovakia under German rule (didn't enter system)
325,Sardinia / Italy,18160101,18160101,172000,0,1,-9,181601,-9,0,-9,1861,0,1,Polity2 codes Sardinia separately from unified Italy
327,Papal States,18160101,18160101,150300,1,1,-9,181601,-9,0,-9,1815,1,4,
329,Two Sicilies,18160101,18160101,173400,1,1,-9,181601,-9,0,-9,1816,1,4,
331,San Marino,19920302,-9,30100,0,1,-9,-9,-9,-9,-9,-9,-9,-9,
332,Modena,18420101,18160101,145205,0,1,-9,184201,-9,0,-9,1815,1,4,
335,Parma,18510101,18160101,154509,0,1,-9,185101,-9,0,-9,1815,1,4,
337,Tuscany,18160101,18160101,156908,0,1,-9,181601,-9,0,-9,1815,1,4,
338,Malta,19640921,19640921,196409,0,2,200,196409,0,-9,200,-9,-9,-9,
339,Albania,19140101,19130101,191307,1,2,640,191211,0,3,640,1914,1,3,COW system interrupted 1939-44 (Ital/Ger occup); terr chg also codes 1945 return
343,Macedonia,19930408,19911120,199109,0,3,345,199111,0,3,345,-9,-9,-9,
344,Croatia,19920115,19910625,199106,1,3,345,199106,1,3,345,-9,-9,-9,Polity2 codes earlier indep in 1830
345,Serbia / Yugoslavia,18780713,19181201,187807,1,2,640,187807,1,3,640,1921,1,1,COW system interrupted 1941-44 (Axis occup); G&W incl Montenegro 1868-1915 & Serbia 1878-1915
346,Bosnia and Herzegovina,19920407,19920303,199203,1,3,345,199204,1,3,345,-9,-9,-9,
349,Slovenia,19920115,19910625,199106,1,3,345,199106,1,3,345,-9,-9,-9,
350,Greece,18280101,18270517,182908,1,2,640,182812,1,3,640,1827,1,3,COW system interrupted 1941-44 (Ger occup)
352,Cyprus,19600816,19600816,196008,1,2,200,196008,0,-9,200,1960,1,2,
355,Bulgaria,19081005,18780303,187803,1,2,640,190802,0,3,640,1879,1,3,
359,Moldova,19911226,19910827,199112,0,2,365,199108,0,3,365,-9,-9,-9,
360,Romania,18780713,18780713,187807,1,2,640,187807,1,3,640,1859,0,2,
365,Russia,18160101,18160101,145701,1,1,-9,181601,-9,0,-9,1800,-9,0,
366,Estonia (interwar),19180224,19181111,191811,1,2,365,191812,1,3,365,1917,1,2,1st independence - ended with 1940 absorption into USSR
366,Estonia (post-Soviet),19910906,19910906,199108,0,3,365,199109,0,3,365,-9,-9,-9,2nd independence - seceded from USSR
367,Latvia (interwar),19181118,19181101,191811,1,2,365,191801,1,3,365,1920,1,2,1st independence - ended with 1940 absorption into USSR
367,Latvia (post-Soviet),19910906,19910906,199109,0,3,365,199109,0,3,365,-9,-9,-9,2nd independence - seceded from USSR
368,Lithuania (interwar),19180216,19180216,191802,1,2,365,191812,0,3,365,1918,1,2,1st independence - ended with 1940 absorption into USSR
368,Lithuania (post-Soviet),19910906,19910906,199109,0,3,365,199109,0,3,365,-9,-9,-9,2nd independence - seceded from USSR
369,Ukraine,19911226,19911201,199112,0,3,365,199112,0,3,365,-9,-9,-9,Terr chg also includes 1918 violent secession (but not system entry)
370,Belarus,19911226,19910825,199112,0,3,365,199108,0,3,365,-9,-9,-9,
371,Armenia,19911226,19910923,199112,0,3,365,199109,0,3,365,-9,-9,-9,Terr chg also includes 1918 violent secession (but not system entry)
372,Georgia,19911226,19910906,199112,0,3,365,199104,0,3,365,-9,-9,-9,Terr chg also includes 1918 violent secession (but not system entry)
373,Azerbaijan,19911226,19910830,199112,0,3,365,199108,0,3,365,-9,-9,-9,Terr chg also includes 1918 violent secession (but not system entry)
375,Finland,19171206,19171206,191712,1,2,365,191712,0,3,365,1917,1,2,
