,StatID,Label,Capital,Area,Region,Lat,Lon
78,PUN,Punjab,Lahore,ASIA,Southern Asia,31.54972,74.34361
79,HSE,Hesse Electoral,Kassel,EUROPE,Western Europe,51.31667,9.5
80,SOK,Sokoto,Sokoto,AFRICA,Western Africa,13.06092,5.23902
81,WRT,Wuerttemburg,Stuttgart,EUROPE,Western Europe,48.78232,9.17702
82,HBG,Hamburg,Hamburg,EUROPE,Western Europe,53.57532,10.01534
83,NAS,Nassau,Wiesbaden,EUROPE,Western Europe,50.08258,8.24932
84,BAD,Baden,Karlsruhe,EUROPE,Western Europe,49.00472,8.38583
85,HSG,Hesse Grand Ducal,Darmstadt,EUROPE,Western Europe,49.87056,8.64944
86,EHT,State of Haiti,Milot,NORTHERN AMERICA,Northern America,19.61667,-72.21667
87,SAX,Saxony,Dresden,EUROPE,Western Europe,51.05,13.75
88,HAW,Hawaii,Lahaina,NORTHERN AMERICA,Northern America,20.87833,-156.6825
89,PMA,Parma,Parma,EUROPE,Southern Europe,44.80266,10.32898
90,HSE,Hesse Electoral,Kassel,EUROPE,Western Europe,51.31667,9.5
91,MOD,Modena,Modena,EUROPE,Southern Europe,44.64783,10.92539
92,HAN,Hanover,Hannover,EUROPE,Western Europe,52.37052,9.73322
93,OLD,Oldenburg,Oldenbourg,EUROPE,Western Europe,53.14118,8.21467
94,TUS,Tuscany,Florence,EUROPE,Southern Europe,43.76667,11.25
95,MEC,Mecklenburg Schwerin,Schwerin,EUROPE,Western Europe,53.62937,11.41316
96,AZA,Azande,Yambio,AFRICA,Eastern Africa,4.57213,28.39549
97,HSE,Hesse Electoral,Kassel,EUROPE,Western Europe,51.31667,9.5
98,HSG,Hesse Grand Ducal,Darmstadt,EUROPE,Western Europe,49.87056,8.64944
99,MEC,Mecklenburg Schwerin,Schwerin,EUROPE,Western Europe,53.62937,11.41316
100,MOD,Modena,Modena,EUROPE,Southern Europe,44.64783,10.92539
101,PAL,Palembang,Palembang,ASIA,South-Eastern Asia,-2.91673,104.7458
102,PMA,Parma,Parma,EUROPE,Southern Europe,44.80266,10.32898
103,SAX,Saxony,Dresden,EUROPE,Western Europe,51.05,13.75
104,SIC,Two Sicilies,Naples,EUROPE,Southern Europe,40.83333,14.25
105,SIC,Two Sicilies,Naples,EUROPE,Southern Europe,40.83333,14.25
106,ZUL,Zululand,Bulawayo,AFRICA,Southern Africa,-20.15,28.58333
107,ASI,Asir,Abha,ASIA,Western Asia,18.21639,42.50528
108,MAS,Massina,Hamdullahi,AFRICA,Western Africa,11.62967,9.05725
109,ZUL,Zululand,Makhosini,AFRICA,Southern Africa,-29.18951,29.55959
110,JMK,Jimma-Kakka,Jimma,AFRICA,Eastern Africa,7.66667,37
111,TEX,Texas,Colombia,NORTHERN AMERICA,Northern America,4,-72
112,TEX,Texas,Houston,NORTHERN AMERICA,Northern America,29.76328,-95.36327
113,ALT,Los Altos,Quetzaltenango,LATIN AMERICA,Central America,14.83472,-91.51806
114,TEX,Texas,Austin,NORTHERN AMERICA,Northern America,30.26715,-97.74306
115,ZUL,Zululand,Ulundi,AFRICA,Southern Africa,-28.33523,31.41617
116,KEL,Kelantan,Kota Bharu,ASIA,South-Eastern Asia,6.13328,102.2386
117,TOK,Tokolor,Segou,AFRICA,Western Africa,13.6,-5.9
118,ALT,Los Altos,Quetzaltenango,LATIN AMERICA,Central America,14.83472,-91.51806
119,SWA,Swat,Saidu Sharif,ASIA,Southern Asia,34.7447,72.3546
120,ZIN,Zinder (Damagaram),Zinder,AFRICA,Western Africa,13.80716,8.9881
121,OFS,Orange Free State,Bloemfontein,AFRICA,Southern Africa,-29.12106,26.214
122,OFS,Orange Free State,Bloemfontein,AFRICA,Southern Africa,-29.12106,26.214
123,EAZ,Zanzibar,Stone Town,AFRICA,Eastern Africa,-6.16368,39.19184
124,QUA,Qu'aiti Sultanate,Al Mukalla,ASIA,Western Asia,14.54248,49.12424
125,SHO,Shoa,Ankober,AFRICA,Eastern Africa,9.3,39.76667
126,ETS,Eastern Turkistan,Kashgar,ASIA,Eastern Asia,39.45472,75.97972
127,MDK,Mandinka Empire (Wassulu),Kankan,AFRICA,Western Africa,10.38542,-9.30568
128,YEK,Yeke Kingdom,Bunkeya,AFRICA,Middle Africa,-9.96667,26.93333
129,WAD,Wadai,Abeche,AFRICA,Middle Africa,13.82916,20.8324
130,TBT,Tibet,Lhassa,ASIA,Eastern Asia,29.65,91.1
131,ASI,Asir,Abha,ASIA,Western Asia,18.21639,42.50528
132,HEJ,Hejaz,Mecca,ASIA,Western Asia,21.42667,39.82611
133,YAR,Yemen Arab Republic,Sana'a,ASIA,Western Asia,15.35472,44.20667
134,DZG,Free City of Danzig,Danzig,EUROPE,Eastern Europe,54.35205,18.64637
135,HAN,Hanover,Hannover,EUROPE,Western Europe,52.37052,9.73322
136,RVN,Republic of Vietnam,Saigon,ASIA,South-Eastern Asia,10.75,106.66667
137,EAZ,Zanzibar,Zanzibar City,AFRICA,Eastern Africa,-6.16394,39.19793
138,YPR,Yemen Peopleâ€™s Republic,Aden,ASIA,Western Asia,12.77944,45.03667
139,KOS,Kosovo,Kosovo,EUROPE,Southern Europe,42.58333,21
140,ABK,Abkhazia,Sukhumi,ASIA,Western Asia,43.00697,40.9893
141,SOT,South Ossetia,Tskhinvali,ASIA,Western Asia,42.22764,43.96861
142,SSD,South Sudan,Juba,AFRICA,Eastern Africa,4.85165,31.58247
