StatID;Label;Start;Start2;End;End2;Comment
SIC;Two Sicilies;1501-08-01;NA;1714-03-07;NA;
SIC;Two Sicilies;1816-12-12;NA;1861-03-17;NA;
SLV;El Salvador;1841-02-18;NA;1896-09-15;NA;
SLV;El Salvador;1898-11-21;NA;9999-12-31;NA;
SMR;San Marino;0301-09-03;NA;9999-12-31;NA;
SVN;Slovenia;1991-06-25;NA;9999-12-31;NA;
TRA;Transvaal;1852-01-17;NA;1902-05-31;NA;
TUS;Tuscany;1569-08-27;NA;1801-03-21;NA;
TUS;Tuscany;1815-06-09;NA;1859-12-08;NA;Until merged into United Provinces of Central Italy
UKR;Ukrainian SSR;1919-03-10;NA;1991-08-19;NA;
UKR;Ukraine;1991-12-08;NA;9999-12-31;NA;
URY;Uruguay;1828-08-27;NA;9999-12-31;NA;Treaty of Montevideo
ZAF;South Africa;1910-05-31;NA;9999-12-31;NA;
