"","StatID","Label","Regex"
"104","GNQ","Equatorial Guinea","guine.*eq|eq.*guine|(?=.*span).*guinea|guinee equatoriale"
"105","GRC","Greece","greece|hellenic|hellas|greek|grece"
"106","GRD","Grenada","grenada|grenade"
"107","GTM","Guatemala","guatemala"
"108","GUY","Guyana","guyana|british.?guiana|guyana"
"109","GWA","Gwalior","gwalior"
"110","HAN","Hanover","hanover"
"111","HAW","Hawaii","hawaii"
"112","HBG","Hamburg","hamburg"
"113","HEJ","Hejaz","hejaz"
"114","HND","Honduras","(?<!british )honduras|honduras"
"115","HRV","Croatia","croatia|croatie"
"116","HSE","Hesse Electoral","hesse.*lectoral|hesse.kassel"
"117","HSG","Hesse Grand Ducal","hess.*gran.*ducal|hesse.darmstadt"
"118","HTI","Haiti","haiti|hayti|haiti"
"119","HUN","Hungary","(?<!austria-|austria )hungary|hungarian|hongrie"
"120","IDN","Indonesia","indonesia|indonesie"
"121","IND","India","india(?!.*ocea)|inde"
"122","INO","Indore","indore"
"123","IPH","Perak","perak"
"124","IRL","Ireland","(?=.*(?<!northern )ireland)(?=.*(?<!britain and )ireland)|irish|irlande"
"125","IRN","Islamic Republic of Iran","\biran|persia|iran"
"126","IRQ","Iraq","\biraq|mesopotamia|irak"
"127","ISL","Iceland","iceland|islande"
"128","ISR","Israel","israel"
"129","ITA","Italy","italy|italian|italo|italie"
"130","JAM","Jamaica","jama.?ca|jamaique"
"131","JMK","Jimma-Kakka","jimma-kakka"
"132","JOD","Jodhpur","jodhpur"
"133","JOH","Johore","johor"
"134","JOR","Jordan","jordan|jordanie"
"135","JPN","Japan","japan|nippon|japon"
"136","JPR","Jaipur","jaipur"
"137","KAF","Kaffa","kaffa"
"138","KAS","Kasanje","kasanje"
"139","KAT","Kathiri Sultanate","kathiri sultanate"
"140","KAZ","Kazakhstan","kazak|kazakhstan"
"141","KED","Kedah","kedah"
"142","KEL","Kelantan","kelantan"
"143","KEN","Kenya","kenya|british.?east.?africa|east.?africa.?prot|kenya"
"144","KGZ","Kyrgyzstan","kyrgyz|kirghiz|kirghizistan"
"145","KHI","Khairpur","khairpur|khayrpur"
"146","KHM","Cambodia","cambodia|kampuchea|khmer|cambodge"
"147","KHV","Khiva","khiva"
"148","KIR","Kiribati","kiribati"
"149","KLT","Kalat","kalat"
"150","KNA","St. Kitts and Nevis","kitts|\bnevis|saint-christophe-et-nieves"
"151","KNB","Kanem-Bornu","kanem-bornu"
"152","KOK","Kokand","kokand"
"153","KON","Kongo Kingdom","kongo kingdom"
"154","KOR","Republic of Korea","(?<!d.p.r. |dpr |democrat |Democratic People's Republic of |north )korea(?!.*d.p.r)|DPRK|coree du sud"
"155","KOS","Kosovo","kosovo"
"156","KOT","Kotah","kotah"
"157","KPT","Kapurthala","kapurthala"
"158","KRG","Karangasem (Bali and Lombok)","karangasem (bali and lombok)"
"159","KTA","Kaarta","kaarta"
"160","KUB","Kuba","kuba"
"161","KWT","Kuwait","kuwait|koweit"
"162","KZB","Kazembe","kazembe"
"163","LAO","Lao People's Democratic Republic","\blaos?\b|laos"
"164","LBN","Lebanon","lebanon|liban"
"165","LBR","Liberia","liberia"
"166","LBY","Libya","libya|tripolitania|libye"
"167","LCA","St. Lucia","\blucia|sainte-lucie"
"168","LIE","Liechtenstein","liechtenstein"
"169","LIM","Enarya (Limmu)","enarya (limmu)"
"170","LIP","Lippe","lippe"
"171","LKA","Sri Lanka","sri.?lanka|ceylon|sri lanka"
"172","LSO","Lesotho","lesotho|basuto.*"
"173","LTU","Lithuania","lithuania|lituanie"
"174","LUB","Luba","luba"
"175","LUN","Lunda Empire","lunda empire|kingdom of lunda"
"176","LUX","Luxembourg","(?<!belgian )luxem|luxembourg"
"177","LVA","Latvia","latvia|lettonie"
"178","MAR","Morocco","morocco|\bmaroc|maroc"
"179","MAS","Massina","massina|maasina|macina"
"180","MCO","Monaco","monaco"
"181","MDA","Republic of Moldova","moldov|moldavia|b(a|e)ssarabia|moldavie"
"182","MDG","Madagascar","madagascar|malagasy|madagascar"
"183","MDK","Mandinka Empire (Wassulu)","mandinka empire (wassulu)"
"184","MDV","Maldives","maldive|maldives"
"185","MEC","Mecklenburg Schwerin","mecklenbur.*schwerin"
"186","MEX","Mexico","\bmexic|mexique"
"187","MHL","Marshall Islands","marshall|iles marshall"
"188","MIN","Minangkabau","minangkabau"
"189","MKD","North Macedonia","macedonia|fyrom|former yugoslav republic of mac.*|macedoine du nord"
"190","MLI","Mali","^mali$"
"191","MLT","Malta","\bmalta|malte"
"192","MMR","Myanmar","myanmar|burma|myanmar (birmanie)"
"193","MNE","Montenegro","(?!.*serbia).*montenegro|montenegro"
"194","MNG","Mongolia","mongol|mongolie"
"195","MOD","Modena","modena"
"196","MOS","Yatenga (Mossi)","yatenga (mossi)"
"197","MOZ","Mozambique","mozambique"
"198","MPR","Manipur","manipur"
"199","MRT","Mauritania","mauritania|mauritanie"
"200","MUS","Mauritius","mauritius|maurice"
"201","MWI","Malawi","malawi|nyasa|malawi"
"202","MYS","Malaysia","malaysia|malaisie"
"203","NAG","Nagpur","nagpur"
"204","NAM","Namibia","namibia|namibie"
"205","NAS","Nassau","nassau"
"206","NER","Niger","\bniger(?!ia)"
"207","NGA","Nigeria","nigeria"
"208","NIC","Nicaragua","nicaragua"
"209","NIU","Niue","niue"
"210","NLD","Netherlands","(?!.*ant)(?!.*carib).*netherlands|netherlands.antil|dutch.antil|aruba|curacao|pays-bas"
"211","NOR","Norway","norway|norweg|norvege"
"212","NPL","Nepal","nepal"
"213","NRU","Nauru","nauru"
"214","NZL","New Zealand","new.?zealand|nouvelle-zelande"
"215","OFS","Orange Free State","orange free state|\sovs\s"
"216","OLD","Oldenburg","oldenburg"
"217","OMN","Oman","\boman|trucial"
"218","OVB","Ovimbundu","ovimbundu"
"219","OYO","Oyo","oyo"
"220","PAH","Pahang","pahang"
"221","PAK","Pakistan","(?<!east |eastern )paki?stan|pakistan"
"222","PAL","Palembang","palembang"
"223","PAN","Panama","panama"
"224","PER","Peru","peru|perou"
"225","PES","Peshwa","peshwa"
"226","PHL","Philippines","philippines"
"227","PLW","Palau","palau|palaos"
"228","PMA","Parma","parma"
"229","PNG","Papua New Guinea","papua|new.?guinea|papouasie-nouvelle-guinee"
"230","POL","Poland","poland|polish|pologne"
"231","PRK","Democratic People's Republic of Korea","dprk|d.p.r.k|korea.+(d.p.r|dpr|north|dem.*peo.*rep.*)|(d.p.r|dpr|dem.*peo.*rep.*).+korea|north korea|coree du nord"
"232","PRT","Portugal","portugal|portuguese|portugal"
"233","PRY","Paraguay","paraguay(?! river)|paraguay"
"234","PSE","Gaza Empire","palestin|\bgaza|west.?bank|territoires palestiniens"
"235","PUN","Punjab","punjab|panj.?b|panj-.?b"
"236","QAT","Qatar","qatar"
"237","QUA","Qu'aiti Sultanate","qu'aiti sultanate"
"238","ROU","Romania","r(o|u|ou)mania|roumanie"
"239","RUS","Russian Federation","russia|russian fed.*|soviet.?union|union of soviet|u[[:punct:]]s[[:punct:]]s[[:punct:]]r[[:punct:]]|socialist.?republics|USSR|RSFSR|russie"
"240","RVN","Republic of Vietnam","(?<!socialist|democratic) republic of viet.?nam|^rep.*viet.?nam|viet.?nam rep|south viet.?nam"
"241","RWA","Rwanda","rwanda|rwandese|ruanda"
"242","SAL","Saloum","saloum"
"243","SAU","Emirate of Diriyah","\bsa\w*.?arabia|first saudi state|emirate of dir.?iyah|arabie saoudite"
"244","SAW","Sawantvadi","sawantvadi|sawantwadi"
"245","SAX","Saxony","saxony"
"246","SDN","Sudan","(?<!south )sudan|soudan|funj sultanate of sennar"
"247","SEG","Segou","segou|s.?gou"
"248","SEL","Selangor","selangor"
"249","SEN","Senegal","senegal"
"250","SGP","Singapore","singapore|singapour"
"251","SHO","Shoa","shoa|shewa|shua|showa|shuwa"
"252","SIA","Siak","siak|siunia|syunik"
"253","SIC","Two Sicilies","two.?sicilies|2.?sicilies"
"254","SID","Sind","sind|sindh"
"255","SIK","Sikkim","sikkim"
"256","SIR","Sirohi","sirohi"
"257","SLB","Solomon Islands","solomon|iles salomon"
"258","SLE","Sierra Leone","sierra leone"
"259","SLV","El Salvador","el.?salvador|salvador"
"260","SMR","San Marino","san.?marino|saint-marin"
"261","SOK","Sokoto","sokoto"
"262","SOM","Somalia","somali|somalie"
"263","SOT","South Ossetia","south ossetia"
"264","SRB","Serbia","(?!.*monte).*serbia|serbie"
"265","SSD","South Sudan","\bs\w*.?sudan|soudan du sud"
"266","STP","Sao Tome and Principe","\bs(a|ã)o.?tom(e|é)|sao tome-et-principe"
"267","SUL","Sulu","sulu"
"268","SUR","Suriname","surinam|dutch.?guiana|suriname"
"269","SVK","Slovakia","(?<!czecho)slovak|slovaquie"
"270","SVN","Slovenia","sloven|slovenie"
"271","SWA","Swat","^swat$|dera yusufzai"
"272","SWE","Sweden","swed|suede"
"273","SWZ","Eswatini","swaziland|eswatini"
"274","SXA","Saxe-Atenburg","saxe-atenburg"
"275","SXG","Saxe-Coburg-Gotha","saxe-coburg-gotha"
"276","SXM","Saxe-Meiningen-Hidburghausen","(?!.*martin)(?!.*saba).*maarten|saint-martin (partie neerlandaise)"
"277","SXW","Saxe-Wiemar-Eisenach","saxe.weimar.eisenach"
"278","SYC","Seychelles","seychell|seychelles"
"279","SYR","Syrian Arab Republic","syria|syrie"
"280","TBT","Tibet","tibet"
"281","TCD","Chad","\bchad|tchad"
"282","TER","Terengganu","terengganu|trengganu|tringganu"
"283","TEX","Texas","texas"
"284","TGO","Togo","togo"
"285","THA","Thailand","thailand|\bsiam|thailande"
"286","TJK","Tajikistan","tajik|tadjikistan"
"287","TKL","Tokelau","tokelau"
"288","TKM","Turkmenistan","turkmen|turkmenistan"
"289","TLS","Timor-Leste","(?=.*leste).*timor|(?=.*east).*timor|timor oriental"
"290","TOK","Tokolor","tokolor"
"291","TON","Tonga","tonga"
"292","TRA","Transvaal","transvaal"
"293","TTO","Trinidad and Tobago","trinidad|tobago|trinite-et-tobago"
"294","TUN","Tunisia","tunisia|tunisie"
"295","TUR","Turkiye","turkey|turkiye|turquie"
"296","TUS","Tuscany","tuscany"
"297","TUV","Tuvalu","tuvalu"
"298","TWN","Chinese Taipei","taiwan|taipei|formosa|taiwan"
"299","TZA","United Republic of Tanzania","tanzania|tanzanie"
"300","UGA","Uganda","uganda|buganda|ouganda"
"301","UKR","Ukraine","ukrain|ukraine|ukrainian ssr"
"302","UPC","United Provinces of Central America","united provinces of central america|United Provinces of CA|United Province of CA|United Province CA"
"303","UPR","Udaipur","udaipur"
"304","URY","Uruguay","uruguay"
