Id,CoW,Label,Capital,Start,End,Notes,UN,FAO,EC.EU,Latitude,Longitude,Area,Region,Land.Area.Sqkm,EEZ,CoastLine,FishConsump2007,ThreatSpecies.2010,MPA2010,CoastalPop,Pop.Density,PopDensLog,MPA.EEZ,MPA.INV,EEZ.TRAWL,MSI.ECOL,BIRD.PROT,MAM.PROT,LV.GDP,MEAL.MAR,CODE.FAO,STAT.REP,SUB.GOOD,CATCH.FUEL,SUB.LV,MSI.SOC
BGR,355,Bulgaria,Sofia,1878-03-03,9999-12-31,,1955-12-14,1967-11-06,2007-01-01,42.733883,25.48583,EUROPE,Eastern Europe,110910,34307,457,32104.56,18,3.18146472610744,29.2,65.5,1.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,340,Yugoslavia-Serbia,Belgrade,1878-07-13,1941-04-20,,1945-10-24,2001-11-02,,44.01652,21.00586,EUROPE,Southern Europe,102350,0,0,,11,0,0,99.3,2.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,360,Romania,Bucharest,1878-07-13,9999-12-31,,1955-12-14,1961-11-09,2007-01-01,45.94316,24.96676,EUROPE,Eastern Europe,237500,23627,696,112800.17,18,33.2592095744114,6.3,93.7,1.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPC,89,Greater Republic of Central America,Amapala,1896-09-15,1898-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,91,Honduras,Tegucigalpa,1898-11-21,9999-12-31,,1945-12-27,1945-10-16,,15.199999,-86.241905,LATIN AMERICA,Central America,112090,249542,1878,21773.7,22,1.89121881910578,65.5,68.2,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,92,El Salvador,San Salvador,1898-11-21,9999-12-31,,1945-10-24,1947-08-19,,13.794185,-88.89653,LATIN AMERICA,Central America,21040,90962,756,42112.65,12,3.10820960890568,98.8,335.8,2.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,93,Nicaragua,Managua,1898-11-21,9999-12-31,,1945-10-24,1945-10-26,,12.865416,-85.20723,LATIN AMERICA,Central America,129494,123881,1915,26548.07,26,37.2223578981306,71.6,44.7,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,40,Cuba,Havana,1902-05-20,1906-09-25,,1945-10-24,1945-10-19,,21.521757,-77.781166,LATIN AMERICA,Caribbean,110860,350751,14519,96955.3,30,4.41134916920556,100,103,2.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAN,95,Panama,Panama,1903-11-03,9999-12-31,,1945-11-13,1945-10-16,,8.537981,-80.78213,LATIN AMERICA,Central America,78200,335646,5637,40673.23,36,4.00561473667169,100,42.1,1.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,385,Norway,Oslo,1905-06-07,1940-06-10,Dissolution of Sweden-Norway until German occupation,1945-11-27,1945-10-16,,60.472023,8.468946,EUROPE,Northern Europe,324220,2385178,53199,242753.97,18,2.35335687156997,95.4,14.3,1.185,0,1,4,3.5,4,5.1,6,4,6.7,53.4,3,4,8,3.7
CUB,40,Cuba,Havana,1909-01-23,9999-12-31,,1945-10-24,1945-10-19,,21.521757,-77.781166,LATIN AMERICA,Caribbean,110860,350751,14519,96955.3,30,4.41134916920556,100,103,2.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,560,South Africa,Pretoria,1910-05-31,9999-12-31,,1945-11-07,1993-11-09,,-30.559483,22.937506,AFRICA,Southern Africa,1219912,1535538,3751,374611.58,81,6.49201611636595,38.9,35.9,1.567,0,2,4,7,5,7.7,1,9,6.1,53.1,3,4,8,5.5
ALB,339,Albania,Tirana,1913-07-29,1939-04-07,,1955-12-14,1973-11-12,,41.15333,20.168331,EUROPE,Southern Europe,28748,13691,649,16581.53,38,1.6240838244711,97.1,125.9,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,375,Finland,Helsinki,1917-12-06,9999-12-31,,1955-12-14,1947-08-27,1995-01-01,61.92411,25.748152,EUROPE,Northern Europe,337030,87171,31119,167533.16,5,4.96209033751037,72.8,15.6,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UKR,369,Ukrainian SSR,Kiev,1919-03-10,1991-08-19,,1945-10-24,2003-11-29,,48.379433,31.16558,EUROPE,Eastern Europe,603700,147318,4953,783009.29,21,4.85849971182726,20.9,76.2,1.888,1,4,0,6.2,3.7,6.5,2,10,2.2,26.5,1,4,6,5.5
LTU,368,Lithuania,Vilnius,1918-02-16,1940-06-15,,1991-09-17,1991-11-11,2004-05-01,55.169437,23.881275,EUROPE,Northern Europe,65200,7031,258,126031.35,5,10.7495411156547,22.9,54.7,1.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,366,Estonia,Tallinn,1918-02-24,1940-06-16,,1991-09-17,1991-11-11,2004-05-01,58.595272,25.013607,EUROPE,Northern Europe,45226,36992,2956,22016.69,4,26.4682716264724,85.9,28.9,1.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,370,Belarus,Minsk,1918-03-25,1919-01-05,,1945-10-24,2005-11-19,,53.70981,27.953388,EUROPE,Eastern Europe,207600,0,0,152164.86,2,0,0,46.7,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,370,SSR Byelorussia,Minsk,1920-07-31,1991-08-19,,1945-10-24,2005-11-19,,53.70981,27.953388,EUROPE,Eastern Europe,207600,0,0,152164.86,2,0,0,46.7,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO,372,Georgia,Tbilisi,1918-05-26,1921-02-25,,1992-07-31,1995-10-20,,42.163403,43.533325,ASIA,Western Asia,69700,21946,376,36475.62,9,0.449665831392053,38.8,66.4,1.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM,371,Armenia,Yerevan,1918-05-28,1920-12-02,,1992-03-02,1993-11-08,,40.0691,45.03819,ASIA,Western Asia,29800,0,0,6589.88,3,0,0,99.6,2.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,373,Azerbaijan,Baku,1918-05-28,1920-04-28,,1992-03-02,1995-10-20,,40.143105,47.576927,ASIA,Western Asia,86600,0,871,14457.42,10,0,55.7,94.4,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZE,315,Czech Republic,Prague,1918-10-28,1939-03-15,,1993-01-19,1993-11-08,2004-05-01,49.817493,15.472962,EUROPE,Eastern Europe,78866,0,0,106899.84,2,0,0,129.6,2.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,290,Poland,Warsaw,1918-11-11,1939-09-27,,1945-10-24,1957-11-09,2004-05-01,51.919437,19.145136,EUROPE,Eastern Europe,312685,29797,1032,363610.11,6,4.10523250491291,13.5,123.1,2.094,1,1,6,5.2,3.7,7.6,1,9,2.5,16.2,5,4,6,5.2
LVA,367,Latvia,Riga,1918-11-18,1940-06-16,,1991-09-17,1991-11-11,2004-05-01,56.879635,24.60319,EUROPE,Northern Europe,64589,28452,566,28572.48,5,6.66925659643855,75.2,34.8,1.554,0,1,1,NA,3.6,7.1,3,10,2.4,20.2,2,7,8,NA
AFG,700,Afghanistan,Kabul,1919-08-08,9999-12-31,,1946-11-19,1949-12-01,,33.93911,67.70995,ASIA,Southern Asia,647500,0,0,,5,0,0,50.6,1.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,305,Austria,Vienna,1919-09-10,1938-03-13,,1955-12-14,1947-08-27,1995-01-01,47.51623,14.550072,EUROPE,Western Europe,83858,0,0,111015.63,11,0,2.2,97.9,1.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,790,Nepal,Kathmandu,1920-01-01,9999-12-31,,1955-12-14,1951-11-21,,28.394857,84.12401,ASIA,Southern Asia,140800,0,0,42816.09,8,0,0,209.7,2.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,20,Canada,Ottawa,1920-01-10,9999-12-31,,1945-11-09,1945-10-16,,56.130367,-106.34677,NORTHERN AMERICA,Northern America,9976140,5599077,265523,783670.69,32,1.24590169680589,23.9,3.3,0.633,1,3,4,4.1,4.1,4.4,4,6,6.8,37.4,4,4,8,4.6
AUS,900,Australia,Canberra,1920-01-10,9999-12-31,,1945-11-01,1945-10-16,,-25.274399,133.77513,OCEANIA,Australia/New Zealand,7686850,8505348,66530,505171.47,100,28.3415279092091,89.8,2.7,0.568,1,10,3,3.9,4.9,8.9,4,7,6.2,26,3,0,8,5.1
NZL,920,New Zealand,Wellington,1920-01-10,9999-12-31,,1945-10-24,1945-10-16,,-40.90056,174.88597,OCEANIA,Australia/New Zealand,268680,4083744,17209,110545.61,21,10.7828822458878,100,15.5,1.217,0,1,3,5.7,4.1,6.7,7,10,6.4,73.1,10,0,10,6.1
HUN,310,Hungary,Budapest,1920-06-04,9999-12-31,Gleditsch and Ward have it 1918-11-03 and COW has it 1918-11-16. We use the Treaty of Trianon.,1955-12-14,1967-11-06,2004-05-01,47.162495,19.503304,EUROPE,Eastern Europe,93030,0,0,,8,0,0,106.8,2.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUX,212,Luxembourg,Luxembourg,1920-11-15,1940-05-10,,1945-10-24,1945-10-16,1952-07-23,49.815273,6.129583,EUROPE,Western Europe,2586,0,0,13197.22,1,0,0,187.9,2.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZG,,Free City of Danzig,Danzig,1920-11-15,1939-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,712,Mongolia,Ulaanbaatar,1921-03-13,9999-12-31,,1961-10-27,1973-11-12,,46.862495,103.84666,ASIA,Eastern Asia,1565000,0,0,568.42,1,0,0,1.9,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,205,Ireland,Dublin,1921-12-06,9999-12-31,,1955-12-14,1946-09-03,1973-01-01,53.41291,-8.24389,EUROPE,Northern Europe,70280,410310,6437,92985.34,18,0.176004683929576,99.9,59.1,1.779,0,1,3,7.4,4.1,6.6,3,8,0,51.1,7,4,6,6.1
DOM,42,Dominican Republic,Santo Domingo,1924-09-29,9999-12-31,,1945-10-24,1945-10-16,,18.735693,-70.16265,LATIN AMERICA,Caribbean,48730,255898,1612,105707.13,17,30.3737527363071,100,195.1,2.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,678,Yemen,Sanaa,1926-09-02,1990-05-21,,1947-09-30,1990-05-22,,15.552727,48.516388,ASIA,Western Asia,527970,552669,3149,102240.08,21,1.76722735507023,63.5,43.6,1.649,0,0,3,3.7,2.8,6,6,10,0.9,11.6,0,0,7,5
VAT,327,Vatican/Holy See,Rome,1929-02-11,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,670,Saudi Arabia,Riyadh,1932-09-23,9999-12-31,,1945-10-24,1948-11-23,,23.885942,45.079163,ASIA,Western Asia,1960582,228633,7572,221644.94,22,3.43284721861953,30.3,14.4,1.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,645,Iraq,Baghdad,1932-10-03,9999-12-31,,1945-12-21,1945-10-16,,33.22319,43.67929,ASIA,Western Asia,437072,771,105,,11,0,5.7,64.6,1.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTI,41,Haiti,Port-au-Prince,1934-08-15,9999-12-31,,1945-10-24,1945-10-16,,18.971188,-72.28522,LATIN AMERICA,Caribbean,27750,126760,1977,39045.2,17,0,99.6,321.6,2.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,344,Croatia,Zagreb,1941-04-10,1945-05-08,,1992-05-22,1993-11-08,2013-07-01,44.236804,15.754395,EUROPE,Southern Europe,56542,59032,5664,67788.4,56,3.35876874780964,37.9,79.4,1.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETH,530,Ethiopia,Addis Ababa,1941-05-05,9999-12-31,,1945-11-13,1948-01-01,,9.145,40.489674,AFRICA,Eastern Africa,1127127,0,0,12542.81,14,0,1.4,69.4,1.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISL,395,Iceland,Reykjavik,1944-06-17,9999-12-31,Sovereign but in personal union with Denmark from Danish-Icelandic Act of Union on 1 December 1918,1946-11-19,1945-10-16,,64.96305,-19.020836,EUROPE,Northern Europe,103000,751345,8506,26919.13,12,3.89524227531521,99.9,3,0.602,0,0,4,5.4,2.5,4.6,9,4,6.6,35.7,1,4,9,7.1
FRA,220,France,Paris,1944-08-25,9999-12-31,,1945-10-24,1945-10-16,1952-07-23,46.22764,2.213749,EUROPE,Western Europe,547030,11035000,7330,2147043.95,40,21.3397280755276,39.6,113.5,2.059,0,1,3,6.4,5.9,7.4,1,9,5,63.6,1,0,8,7
LUX,212,Luxembourg,Luxembourg,1944-09-10,9999-12-31,,1945-10-24,1945-10-16,1952-07-23,49.815273,6.129583,EUROPE,Western Europe,2586,0,0,13197.22,1,0,0,187.9,2.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,350,Greece,Athens,1944-10-13,9999-12-31,,1945-10-25,1945-10-16,1981-01-01,39.074207,21.824312,EUROPE,Southern Europe,131940,505572,15147,234330.85,73,2.61449496689692,99.2,81.3,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,345,Yugoslavia-Serbia,Belgrade,1944-10-20,9999-12-31,,1945-10-24,2001-11-02,,44.01652,21.00586,EUROPE,Southern Europe,102350,0,0,,11,0,0,99.3,2.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,339,Albania,Tirana,1944-11-17,9999-12-31,,1955-12-14,1973-11-12,,41.15333,20.168331,EUROPE,Southern Europe,28748,13691,649,16581.53,38,1.6240838244711,97.1,125.9,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,390,Denmark,Copenhagen,1945-05-07,9999-12-31,From restoration after German occupation,1945-10-24,1945-10-16,1973-01-01,56.26392,9.501785,EUROPE,Northern Europe,43094,2551238,5316,133559.83,14,3.21829964551571,100,127.3,2.108,1,8,3,5.5,4.3,7.8,5,5,5.7,41.6,1,4,0,6.5
NOR,385,Norway,Oslo,1945-05-08,9999-12-31,From restoration from German occupation,1945-11-27,1945-10-16,,60.472023,8.468946,EUROPE,Northern Europe,324220,2385178,53199,242753.97,18,2.35335687156997,95.4,14.3,1.185,0,1,4,3.5,4,5.1,6,4,6.7,53.4,3,4,8,3.7
CZE,315,Czech Republic,Prague,1945-05-10,9999-12-31,,1993-01-19,1993-11-08,2004-05-01,49.817493,15.472962,EUROPE,Eastern Europe,78866,0,0,106899.84,2,0,0,129.6,2.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD,210,Netherlands,Amsterdam,1945-06-26,9999-12-31,,1945-12-10,1945-10-16,1952-07-23,52.132633,5.291266,EUROPE,Western Europe,41526,154011,1914,313134.65,12,22.1084195416424,93.4,400.8,2.604,1,3,0,9,4.3,7.9,5,10,5.5,31.8,1,4,10,7.1
BEL,211,Belgium,Brussels,1945-06-26,9999-12-31,,1945-12-27,1945-10-16,1952-07-23,50.503887,4.469936,EUROPE,Western Europe,30510,3447,76,257835.1,10,0.0432004072662654,83,341,2.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,290,Poland,Warsaw,1945-06-28,9999-12-31,,1945-10-24,1957-11-09,2004-05-01,51.919437,19.145136,EUROPE,Eastern Europe,312685,29797,1032,363610.11,6,4.10523250491291,13.5,123.1,2.094,1,1,6,5.2,3.7,7.6,1,9,2.5,16.2,5,4,6,5.2
SYR,652,Syrian Arab Republic,Damascus,1945-10-24,1958-02-01,,1945-10-24,1945-10-27,,34.802074,38.996815,ASIA,Western Asia,185180,10503,212,,33,0.625662261682456,34.5,106.6,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,660,Lebanon,Beirut,1945-10-24,9999-12-31,,1945-10-24,1945-10-27,,33.85472,35.862286,ASIA,Western Asia,10400,19516,294,38972.01,21,0.106117746633252,100,381.9,2.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,663,Jordan,Amman,1946-05-25,9999-12-31,,1955-12-14,1951-01-23,,30.585163,36.238415,ASIA,Western Asia,92300,166,27,33953.9,13,29.9730273359602,29,67.2,1.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,840,Philippines,Manila,1946-07-04,9999-12-31,,1945-10-24,1945-10-16,,12.879721,121.77402,ASIA,South-Eastern Asia,300000,1590780,33900,2870848.5,65,2.46832964586724,100,308.9,2.491,1,1,4,4.7,4.1,5.7,6,9,3.2,26,1,0,6,5.8
HAN,240,Hanover,Hannover,1946-08-23,1946-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,770,Pakistan,Islamabad,1947-08-14,9999-12-31,,1947-09-30,1947-09-07,,30.37532,69.345116,ASIA,Southern Asia,803940,235999,2599,326921.23,33,1.83298312251985,9.1,208.7,2.322,1,0,4,3.8,3.9,5.9,2,10,2.5,17.7,2,0,7,4.2
IND,750,India,New Delhi,1947-08-15,9999-12-31,,1945-10-30,1945-10-16,,20.593683,78.96288,ASIA,Southern Asia,3287590,2305143,17181,5963953.1,122,1.67467983555848,26.3,349.2,2.544,1,0,3,2.8,3.8,6.1,1,10,3.6,15.8,0,0,0,5
MMR,775,Myanmar,Rangoon,1948-01-04,9999-12-31,,1948-04-19,1947-09-11,,21.913965,95.95622,ASIA,South-Eastern Asia,678500,532775,14708,,33,0.311825373898431,49,70.4,1.854,0,0,4,2.8,2.8,5.5,7,10,1,1.4,2,0,7,3.7
LKA,780,Sri Lanka,Colombo,1948-02-04,9999-12-31,,1955-12-14,1948-05-21,,7.873054,80.7718,ASIA,Southern Asia,65610,532619,2825,431386.85,41,1.06304713367493,100,322,2.509,0,1,3,2.5,3.7,5.9,5,7,1.5,7.6,2,0,8,5
ISR,666,Israel,Jerusalem,1948-05-14,9999-12-31,,1949-05-11,1949-11-23,,31.046051,34.851612,ASIA,Western Asia,20770,26352,205,142460.39,35,0.445133330987489,96.6,342.4,2.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRK,731,Democratic People's Republic of Korea,Pyongyang,1948-09-09,9999-12-31,,1991-09-17,1977-11-14,,40.33985,127.51009,ASIA,Eastern Asia,120540,132826,4009,,12,0.114814454316886,92.9,194.8,2.292,0,0,4,7.4,2,4,4,10,0.7,4.1,0,0,0,6.4
TKL,,Tokelau,Atafu,1949-01-01,9999-12-31,,,2011-06-25,,-8.551667,-172.500833,OCEANIA,Polynesia,10,,,,,,,,,,,,,,,,,,,,,,
DEU,260,German Federal Republic,Bonn/Berlin,1949-05-23,9999-12-31,,1973-09-18,1950-11-27,1952-07-23,51.16569,10.451526,EUROPE,Western Europe,357021,57485,3624,1218325.22,21,40.2846753942246,14.6,230.7,2.365,2,10,2,9,5.3,8.8,1,8,4.2,26.9,1,4,8,7.1
KOR,730,Republic of Korea,Seoul,1949-06-29,9999-12-31,,1991-09-17,1949-11-25,,35.907757,127.76692,ASIA,Eastern Asia,98480,300851,12478,,17,3.85388678453516,100,499.9,2.7,1,0,4,7.1,2.8,5.3,5,10,5.5,39.8,0,0,8,6.4
DDR,265,German Democratic Republic,Berlin,1949-10-07,1990-10-02,,,,,52.524577,13.406067,EUROPE,Eastern Europe,108178,,,,,,,,,,,,,,,,,,,,,,
TWN,713,Chinese Taipei,Taipei,1949-12-08,9999-12-31,,,,,23.775291,120.893555,ASIA,Eastern Asia,35980,83231,2007,,0,0,100,637,2.805,0,1,4,5,1.6,6,4,8,4,27.5,0,0,8,5.7
IDN,850,Indonesia,Jakarta,1949-12-27,9999-12-31,,1950-09-28,1949-11-28,,-0.789275,113.921326,ASIA,South-Eastern Asia,1919440,6159032,95181,5456840.62,138,1.98611380189418,95.9,123.7,2.096,1,1,4,4.9,2.8,5,3,9,2.4,27,1,0,7,5.3
LBY,620,Libyan Arab Jamahiriya,Tripoli,1951-12-24,9999-12-31,,1955-12-14,1953-11-24,,26.3351,17.22833,AFRICA,Northern Africa,1759540,351589,2025,60819.46,21,0.0500477858983402,78.7,3.5,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPN,740,Japan,Tokyo,1952-04-28,9999-12-31,,1956-12-18,1951-11-21,,36.202023,138.25293,ASIA,Eastern Asia,377835,4479388,29020,7743633.39,59,5.54996424289576,96.4,336.9,2.529,0,1,4,7.5,3.5,4.4,5,8,6.3,36.8,6,0,7,6.5
LAO,812,Lao People's Democratic Republic,Vientiane,1953-10-23,9999-12-31,,1955-12-14,1951-11-21,,19.85627,102.4955,ASIA,South-Eastern Asia,236800,0,0,,23,0,5.7,28.2,1.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHM,811,Cambodia,Phnom Penh,1953-11-09,9999-12-31,,1955-12-14,1950-11-11,,12.565679,104.99097,ASIA,South-Eastern Asia,181040,62515,1127,358168.42,28,0.436054687697371,23.8,78.7,1.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,816,Viet Nam,Hanoi,1945-09-02,9999-12-31,,1977-09-20,1950-11-11,,14.058324,108.2772,ASIA,South-Eastern Asia,329560,417663,11409,,46,1.71310214538948,82.8,261.3,2.419,0,0,4,3.7,3.6,6.1,6,7,1.6,1.5,1,0,8,5
AUT,305,Austria,Vienna,1955-07-27,9999-12-31,,1955-12-14,1947-08-27,1995-01-01,47.51623,14.550072,EUROPE,Western Europe,83858,0,0,111015.63,11,0,2.2,97.9,1.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN,625,Sudan,Khartoum,1956-01-01,9999-12-31,,1956-11-12,1956-09-13,,12.862807,30.217636,AFRICA,Northern Africa,2505810,68148,2245,70656.28,17,0.0459020347428708,2.8,16,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,600,Morocco,Rabat,1956-03-02,9999-12-31,,1956-11-12,1956-09-13,,31.791702,-7.09262,AFRICA,Northern Africa,446550,575230,2009,299544.15,45,1.32020165005104,65.1,76.9,1.892,0,1,3,5.5,3.4,5.8,4,6,3.5,29.3,2,4,7,5.8
TUN,616,Tunisia,Tunis,1956-03-20,9999-12-31,,1956-11-12,1955-11-25,,33.886917,9.537499,AFRICA,Northern Africa,163610,101857,1927,131265.68,31,1.16841042600534,84,63.5,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,452,Ghana,Accra,1957-03-06,9999-12-31,,1957-03-08,1957-11-09,,7.946527,-1.023194,AFRICA,Western Africa,239460,235349,758,676052.33,42,0.0130810889611613,42.5,97.6,1.994,0,0,4,NA,4.2,4.9,4,10,3.7,20.1,1,4,5,NA
EUE,,European Union,Brussels,1957-03-25,9999-12-31,,,1991-11-26,,48.57479,13.974609,EUROPE,,4422773,7044342,65993,,0,0,50,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,820,Malaysia,Kuala Lumpur,1957-08-31,9999-12-31,,1957-09-17,1957-11-09,,4.210484,101.97577,ASIA,South-Eastern Asia,329750,334671,9323,1330015.93,60,2.02655630341222,98,76.6,1.89,1,2,3,5.1,2.6,5.1,7,9,4.7,20.7,0,0,8,4.9
GIN,438,Guinea,Conakry,1958-10-02,9999-12-31,,1958-12-12,1959-11-05,,9.945587,-9.696645,AFRICA,Western Africa,245857,59426,1615,99578.91,63,0,40.9,41.5,1.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMR,471,Cameroon,Yaounde,1960-01-01,9999-12-31,,1960-09-20,1960-03-22,,7.369722,12.354722,AFRICA,Middle Africa,475440,16547,1799,258474.82,110,0.391109861666427,21.9,38.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,461,Togo,Lome,1960-04-27,9999-12-31,,1960-09-20,1960-05-23,,8.619543,0.824782,AFRICA,Western Africa,56785,12045,53,43953.45,24,0,44.6,103.2,2.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,432,Mali,Bamako,1960-06-20,9999-12-31,From independence from France as Mali Federation,1960-09-28,1961-11-09,,17.570692,-3.996166,AFRICA,Western Africa,1240000,0,0,105756.36,3,0,0,9.9,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG,580,Madagascar,Antananarivo,1960-06-26,9999-12-31,,1960-09-20,1961-11-09,,-18.766947,46.869106,AFRICA,Eastern Africa,587040,1225259,9935,136750.13,83,0.118586566600924,55.1,34.1,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD,490,Democratic Republic of the Congo,Kinshasa,1960-06-30,9999-12-31,,1960-09-20,1961-11-09,,-4.038333,21.758663,AFRICA,Middle Africa,2345410,1606,177,,81,4.39936585569221,2.7,28.4,1.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,520,Somalia,Mogadishu,1960-07-01,9999-12-31,,1960-09-20,1960-11-17,,5.152149,46.199615,AFRICA,Eastern Africa,637657,825052,3898,,26,1.40085355720726e-05,54.8,15,1.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN,434,Benin,Porto-Novo,1960-08-01,9999-12-31,,1960-09-20,1961-11-09,,9.30769,2.315834,AFRICA,Western Africa,112620,33221,153,65575.13,27,0,62.4,73.7,1.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,436,Niger,Niamey,1960-08-03,9999-12-31,,1960-09-20,1961-11-09,,17.607788,8.081666,AFRICA,Western Africa,1267000,0,0,45972.93,4,0,0,10.5,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,439,Burkina Faso,Ouagadougou,1960-08-05,9999-12-31,,1960-09-20,1961-11-09,,12.238333,-1.561593,AFRICA,Western Africa,274200,0,0,26955.11,4,0,0,55.7,1.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIV,437,Cote d'Ivoire,Yamoussoukro,1960-08-07,9999-12-31,,1960-09-20,1961-11-09,,7.539989,-5.54708,AFRICA,Western Africa,322460,176254,797,,43,0.0735345249736001,39.7,57,1.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
